,Total Basic Assistance,Foster Care,Juvenile Justice Payments,Emergency Assistance,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3573041581.0,,,,430608919.0,49884036.0,2335088505.0,2540362905.0,128351.0,1929351321.0,622399833.0,204088089.0,654363868.0,102926915.0,36393426.0,627339624.0,30376241.0,635574705.0,133692908.0,57221825.0,230896357.0,14683764731.0
ALABAMA,0.0,,,,145680.0,2241825.0,5517134.0,22004821.0,0.0,0.0,22631147.0,0.0,420000.0,0.0,0.0,30018830.0,1467162.0,7469990.0,4943953.0,300331.0,0.0,97160873.0
ALASKA,23242764.0,,,,233929.0,208833.0,3239460.0,0.0,0.0,0.0,367313.0,0.0,6991687.0,0.0,0.0,0.0,0.0,2274839.0,0.0,0.0,0.0,36558825.0
ARIZONA,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,16912216.0,0.0,0.0,0.0,0.0,97779451.0,0.0,0.0,4751902.0,0.0,0.0,119443569.0
ARKANSAS,0.0,,,,164083.0,243191.0,0.0,30142533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3828119.0,0.0,181722.0,0.0,34559648.0
CALIFORNIA,1826959638.0,,,,48786771.0,10070187.0,668225895.0,0.0,0.0,0.0,449732.0,99410937.0,848777.0,16986138.0,2137239.0,309077.0,803565.0,191485214.0,39839549.0,3658798.0,303393.0,2910274910.0
COLORADO,7970848.0,,,,690189.0,961038.0,10691386.0,59247886.0,3092.0,74004128.0,14842934.0,271944.0,90335.0,12489.0,6477.0,45407759.0,9303562.0,809412.0,3014425.0,600365.0,0.0,230364514.0
CONNECTICUT,41885749.0,,,,11266540.0,0.0,14806028.0,82700647.0,0.0,59300272.0,0.0,1378340.0,0.0,0.0,366749.0,0.0,0.0,20110708.0,0.0,3603657.0,0.0,235418690.0
DELAWARE,11361826.0,,,,863100.0,0.0,64124311.0,0.0,0.0,0.0,802208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16452236.0,0.0,0.0,93603681.0
DIST. OF COLUMBIA,122846344.0,,,,9781906.0,0.0,22169365.0,0.0,0.0,23680904.0,69143965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247622484.0
FLORIDA,120698618.0,,,,0.0,0.0,112343092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124173429.0,0.0,31692673.0,0.0,3153003.0,0.0,392060815.0
GEORGIA,36957517.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133113845.0,0.0,1048123.0,117288.0,2131754.0,0.0,173368527.0
HAWAII,14644696.0,,,,41110318.0,802891.0,10971630.0,0.0,4828.0,0.0,7318069.0,24066307.0,5795125.0,3940725.0,2329302.0,57470.0,386970.0,4752539.0,2986664.0,2056590.0,34028702.0,155252826.0
IDAHO,6712908.0,,,,1305521.0,72621.0,1175820.0,450000.0,0.0,0.0,34897.0,0.0,0.0,0.0,0.0,1419044.0,0.0,1529374.0,0.0,325194.0,0.0,13025379.0
ILLINOIS,5908794.0,,,,247823.0,73980.0,382171371.0,108714531.0,0.0,0.0,216173.0,5858534.0,0.0,0.0,0.0,0.0,0.0,0.0,1142408.0,2329.0,0.0,504335943.0
INDIANA,862347.0,,,,0.0,0.0,20045435.0,0.0,0.0,25176855.0,0.0,0.0,8859845.0,0.0,0.0,0.0,0.0,2856738.0,0.0,6.0,60755384.0,118556610.0
IOWA,26873243.0,,,,5482170.0,645101.0,7390376.0,0.0,0.0,24902202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282732.0,3040709.0,612718.0,0.0,70229251.0
KANSAS ,0.0,,,,0.0,0.0,6673024.0,17989945.0,0.0,40117216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64780185.0
KENTUCKY,32449990.0,,,,8339073.0,0.0,25418428.0,0.0,0.0,0.0,0.0,1052254.0,0.0,0.0,5220461.0,0.0,0.0,216778.0,0.0,6478.0,0.0,72703462.0
LOUISIANA ,0.0,,,,32199832.0,0.0,10741970.0,6091580.0,0.0,11835996.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63269378.0
MAINE,21066366.0,,,,463163.0,1773797.0,1760164.0,0.0,0.0,0.0,3384505.0,0.0,4306082.0,0.0,0.0,2707945.0,0.0,1514690.0,725.0,0.0,0.0,37523943.0
MARYLAND,6323496.0,,,,327381.0,0.0,441467.0,70018413.0,0.0,156514130.0,36280360.0,0.0,0.0,0.0,0.0,14278.0,0.0,1208173.0,5985465.0,0.0,0.0,277113163.0
MASSACHUSETTS,209793073.0,,,,12334194.0,6302907.0,44973368.0,0.0,0.0,171271061.0,104097545.0,14563609.0,0.0,11583829.0,0.0,4819443.0,0.0,37825819.0,0.0,0.0,0.0,617564848.0
MICHIGAN,317663.0,,,,236000.0,8967800.0,19529091.0,188527198.0,0.0,40146147.0,6975474.0,113.0,223425503.0,0.0,0.0,3625528.0,0.0,906625.0,12433297.0,119064.0,0.0,505209503.0
MINNESOTA,27475947.0,,,,7086340.0,0.0,117254791.0,5700000.0,0.0,111738432.0,180415.0,0.0,0.0,0.0,0.0,0.0,0.0,16979494.0,0.0,0.0,0.0,293075248.0
MISSISSIPPI,575711.0,,,,19226511.0,189732.0,1715430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5609.0,0.0,127410.0,0.0,21840403.0
MISSOURI,3787897.0,,,,26966936.0,1968149.0,17314434.0,0.0,0.0,0.0,67182098.0,6020469.0,0.0,3688348.0,12719829.0,0.0,0.0,3702148.0,0.0,1976515.0,0.0,145326823.0
MONTANA,2795977.0,,,,2838080.0,474539.0,1313990.0,0.0,115633.0,0.0,239654.0,0.0,0.0,0.0,0.0,0.0,0.0,304383.0,5426028.0,486959.0,0.0,13995243.0
NEBRASKA,5989133.0,,,,9134.0,0.0,6498998.0,0.0,0.0,28991349.0,127079.0,380877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45818423.0
NEVADA,19963239.0,,,,2858577.0,10131.0,14654369.0,3006129.0,3753.0,0.0,6928787.0,2847581.0,433044.0,103060.0,5415.0,24426211.0,981111.0,0.0,0.0,0.0,0.0,76221407.0
NEW HAMPSHIRE,11050838.0,,,,3019203.0,278309.0,4581872.0,0.0,0.0,0.0,5185894.0,0.0,0.0,2588180.0,4143020.0,0.0,183853.0,4355115.0,0.0,1569471.0,1857830.0,38813585.0
NEW JERSEY,29682187.0,,,,32795133.0,4972.0,68653802.0,559776791.0,0.0,242072985.0,5403084.0,7513594.0,9678129.0,0.0,0.0,0.0,0.0,16981806.0,0.0,1037079.0,0.0,973599562.0
NEW MEXICO,8197043.0,,,,705409.0,0.0,0.0,33313507.0,0.0,0.0,9472585.0,7211904.0,3797405.0,200000.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,114876281.0
NEW YORK ,523801132.0,,,,4594661.0,195824.0,101983998.0,492403097.0,1045.0,897022005.0,39717326.0,8950825.0,15000634.0,0.0,0.0,62546975.0,0.0,112663636.0,0.0,1010704.0,0.0,2687455973.0
NORTH CAROLINA,0.0,,,,3479122.0,1911064.0,39954665.0,90202632.0,0.0,0.0,4621896.0,379205.0,271909.0,0.0,0.0,55736040.0,0.0,26072946.0,19408263.0,563393.0,0.0,242601135.0
NORTH DAKOTA,2542424.0,,,,3205968.0,306936.0,1116895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897063.0,0.0,0.0,0.0,0.0,0.0,9069286.0
OHIO,133230818.0,,,,134807.0,0.0,187204440.0,0.0,0.0,0.0,39726157.0,0.0,0.0,62388471.0,413863.0,1823675.0,0.0,44304864.0,509574.0,300.0,0.0,469736969.0
OKLAHOMA,13271683.0,,,,8647860.0,736500.0,7074900.0,9059485.0,0.0,0.0,477059.0,1242570.0,815570.0,0.0,0.0,6508335.0,0.0,7738330.0,4034603.0,419961.0,92858.0,60119714.0
OREGON,21635812.0,,,,3449002.0,833572.0,6613206.0,11924202.0,0.0,0.0,27106768.0,5532780.0,0.0,0.0,0.0,0.0,0.0,7369156.0,3789121.0,0.0,0.0,91634251.0
PENNSYLVANIA,5448582.0,,,,11283666.0,91672.0,221936813.0,235878755.0,0.0,0.0,817143.0,0.0,0.0,1281735.0,0.0,0.0,11701278.0,12096297.0,0.0,1590488.0,0.0,502126429.0
RHODE ISLAND,2932198.0,,,,1279260.0,0.0,6541126.0,0.0,0.0,22577639.0,27702288.0,0.0,0.0,0.0,0.0,21355826.0,0.0,431272.0,0.0,1224741.0,0.0,84182068.0
SOUTH CAROLINA,0.0,,,,0.0,0.0,4085269.0,27192812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2522988.0,0.0,495493.0,20000000.0,54296562.0
SOUTH DAKOTA,5969077.0,,,,980387.0,40158.0,802914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747464.0,0.0,0.0,0.0,8540000.0
TENNESSEE,16357391.0,,,,9752200.0,182858.0,0.0,82092010.0,0.0,0.0,0.0,158611.0,0.0,0.0,0.0,0.0,0.0,6182935.0,0.0,207160.0,1430.0,114934595.0
TEXAS,35653527.0,,,,7415655.0,361552.0,0.0,349681944.0,0.0,0.0,149140.0,0.0,0.0,0.0,0.0,0.0,0.0,797478.0,0.0,105527.0,0.0,394164823.0
