,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,233171.4167,425319.5,707654612.0,252.9093,138.6516
Maine,130374.25,249118.5,367069888.0,234.6258,122.7896
Massachusetts,498580.0833,887618.6667,1394535579.0,233.0845,130.9248
New Hampshire,56201.0833,117314.8333,162970800.0,241.6484,115.7646
New York,1710501.25,3170465.0,5621405245.0,273.8673,147.7545
Rhode Island,100542.6667,179925.0,302890523.0,251.0464,140.2855
Vermont,52337.3333,100541.25,150054164.0,238.9215,124.372
Delaware,72243.5833,153137.25,235028481.0,271.1065,127.8964
District of Columbia,81903.9167,144888.9167,235020570.0,239.1222,135.1728
Maryland,392183.5833,771020.75,1178661931.0,250.4486,127.3919
New Jersey,432269.5,876266.0,1419226622.0,273.5999,134.9692
Pennsylvania,869835.8333,1784790.25,2748346529.0,263.3013,128.3226
Puerto Rico,,,,,
Virginia,456488.5833,940932.1667,1442442319.0,263.3221,127.7494
Virgin Islands,11957.3333,27436.0833,56990837.0,397.1819,173.1018
West Virginia,167013.9167,350695.4167,504485785.0,251.7184,119.8775
Alabama,421302.1667,915322.4167,1414951864.0,279.8767,128.8209
Florida,1943901.5833,3556472.9167,5906158957.0,253.1918,138.3899
Georgia,907896.3333,1948188.5833,3188743586.0,292.6861,136.3978
Kentucky,420210.8333,872438.5833,1332998664.0,264.3512,127.325
Mississippi,305004.9167,668624.3333,993077956.0,271.3284,123.7713
North Carolina,786063.9167,1703700.4167,2491197794.0,264.1004,121.8523
South Carolina,416723.75,875865.75,1381782118.0,276.3186,131.4682
Tennessee,662204.3333,1342089.4167,2127681953.0,267.7524,132.1125
Illinois,1017189.5833,2040053.25,3378095657.0,276.7507,137.9905
Indiana,415518.1667,926010.9167,1461136176.0,293.035,131.4902
Michigan,909764.0,1775645.6667,2911624110.0,266.7014,136.6463
Minnesota,274236.25,552928.3333,771362512.0,234.3972,116.2541
Ohio,889427.1667,1824674.8333,2923160707.0,273.8805,133.5014
Wisconsin,416826.4167,856729.5,1198302422.0,239.5686,116.5578
Arkansas,224453.8333,504620.9167,731845896.0,271.7136,120.8574
Louisiana,425647.9167,940099.6667,1479828133.0,289.7207,131.1765
New Mexico,197359.0,440361.6667,679481811.0,286.906,128.584
Oklahoma,287398.1667,621830.9167,958684325.0,277.978,128.476
Texas,1674350.0833,4041891.0833,5934441831.0,295.3605,122.3528
Colorado,231487.6667,507933.9167,823529607.0,296.4627,135.111
Iowa,198500.25,420344.4167,586542123.0,246.239,116.282
Kansas,149233.0,316982.5833,474255829.0,264.8296,124.6798
Missouri,437443.1667,929942.8333,1428882352.0,272.2034,128.0439
Montana,59397.8333,128530.9167,192259685.0,269.7344,124.652
Nebraska,79378.6667,179710.6667,264636314.0,277.8206,122.7141
North Dakota,26269.9167,56522.8333,85530266.0,271.3188,126.0999
South Dakota,45312.0,104051.5833,165040184.0,303.5255,132.1782
Utah,101027.25,251626.0,377903214.0,311.7172,125.1537
Wyoming,16211.0,38046.1667,56980056.0,292.9084,124.8046
Alaska,38279.0833,91363.8333,189565646.0,412.6833,172.9036
American Samoa,,,,,
Arizona,476688.5,1111105.25,1648236258.0,288.14,123.6184
California,1905869.0,4159030.75,7558348393.0,330.4857,151.4445
Guam,15096.75,45554.4167,118159044.0,652.2322,216.15
Hawaii,96021.5,189349.75,494182027.0,428.8814,217.4908
Idaho,97927.0833,227006.25,346782947.0,295.103,127.303
Nevada,174638.4167,360953.1667,535230693.0,255.3995,123.5688
Oregon,451419.5833,817574.8333,1250176428.0,230.7861,127.4273
Washington,591112.5,1113440.9167,1678737077.0,236.6635,125.6418
Outlying Areas,,,,,
