,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
U.S. TOTAL,4485279615.0,72858031.0,230242453.0,537880736.0,1516804587.0,1037346414.0,142506485.0,691952.0,122662721.0,0.0,279734284.0,1088089290.0,192988042.0,1236738135.0,172419652.0,887369983.0,2148235351.0
ALABAMA,45889869.0,0.0,985816.0,0.0,8994757.0,0.0,359259.0,0.0,0.0,0.0,260.0,962140.0,230428.0,11415593.0,726149.0,0.0,13316021.0
ALASKA,7000577.0,5693742.0,448734.0,0.0,12585752.0,8242762.0,104500.0,0.0,0.0,0.0,1289.0,371013.0,0.0,2355523.0,324760.0,0.0,0.0
ARIZONA,-23388098.0,0.0,55506.0,0.0,6200196.0,89604.0,146348.0,0.0,0.0,0.0,8020548.0,0.0,0.0,21283555.0,5033409.0,13922252.0,197357588.0
ARKANSAS,13186751.0,0.0,0.0,0.0,23424613.0,8233801.0,2575044.0,495420.0,0.0,0.0,0.0,567321.0,1568883.0,8507858.0,2400539.0,6869995.0,117418.0
CALIFORNIA,1124706003.0,39843950.0,123824823.0,236693134.0,498193672.0,68539917.0,45492875.0,0.0,0.0,0.0,8584848.0,744969777.0,0.0,245043787.0,61629521.0,0.0,230172320.0
COLORADO,62280210.0,0.0,3255348.0,0.0,2011876.0,127834.0,1680715.0,0.0,0.0,0.0,4350659.0,352158.0,39277.0,8334849.0,4469917.0,296021.0,57087739.0
CONNECTICUT,12779775.0,0.0,0.0,1375130.0,0.0,0.0,2719310.0,0.0,0.0,0.0,0.0,71577668.0,21035146.0,12052574.0,0.0,13627000.0,104942694.0
DELAWARE,-273538.0,4145209.0,0.0,0.0,497483.0,19030327.0,0.0,0.0,0.0,0.0,1503664.0,0.0,0.0,-220423.0,0.0,0.0,0.0
DIST.OF COLUMBIA,23826697.0,0.0,0.0,0.0,23232907.0,39588286.0,0.0,0.0,0.0,0.0,0.0,1562815.0,800000.0,5231278.0,2176626.0,0.0,8701602.0
FLORIDA,43346065.0,16185384.0,407007.0,0.0,58350615.0,82204347.0,5127590.0,0.0,0.0,0.0,497525.0,2795700.0,0.0,10917999.0,558342.0,0.0,190499195.0
GEORGIA,45030424.0,0.0,7864147.0,0.0,-1864346.0,0.0,10090653.0,0.0,0.0,0.0,52962.0,11349192.0,-11391366.0,12186498.0,2203321.0,19727869.0,225328763.0
HAWAII,45623500.0,0.0,852346.0,0.0,6027609.0,0.0,1153387.0,0.0,0.0,0.0,423368.0,6708660.0,0.0,5873409.0,2254255.0,0.0,0.0
IDAHO,4243767.0,41663.0,132313.0,0.0,654808.0,1726455.0,0.0,148000.0,0.0,0.0,1861089.0,405298.0,0.0,3054744.0,953421.0,8150856.0,1429989.0
ILLINOIS,77013310.0,0.0,5053059.0,0.0,31012389.0,134482223.0,756617.0,0.0,19143644.0,0.0,0.0,0.0,0.0,26578810.0,433087.0,268252659.0,21131162.0
INDIANA,24248792.0,0.0,0.0,0.0,11138914.0,0.0,0.0,0.0,0.0,0.0,0.0,2125586.0,0.0,14596181.0,3366419.0,0.0,39948594.0
IOWA,12757510.0,0.0,0.0,0.0,11383488.0,0.0,348848.0,0.0,0.0,0.0,117031.0,63040220.0,0.0,2044566.0,554762.0,0.0,0.0
KANSAS,20220042.0,0.0,3913267.0,18070363.0,423394.0,0.0,1640784.0,0.0,0.0,0.0,1000.0,2736633.0,0.0,6444677.0,7059301.0,0.0,11925939.0
KENTUCKY,59869734.0,10947929.0,3102309.0,0.0,29846028.0,5126998.0,16584310.0,0.0,0.0,0.0,0.0,0.0,0.0,9438239.0,2007465.0,0.0,20712242.0
LOUISIANA,25701676.0,0.0,570402.0,0.0,6380583.0,0.0,883831.0,0.0,0.0,0.0,0.0,851872.0,54038774.0,19352153.0,964786.0,0.0,38967531.0
MAINE,18959454.0,1392731.0,6398008.0,0.0,12245245.0,1931477.0,998400.0,0.0,0.0,0.0,283591.0,0.0,0.0,2688178.0,42257.0,888410.0,0.0
MARYLAND,114017696.0,0.0,0.0,0.0,30562350.0,292141.0,4191610.0,0.0,0.0,0.0,2182225.0,68310.0,39438348.0,29465002.0,1068962.0,0.0,0.0
MASSACHUSETTS,22801519.0,0.0,0.0,0.0,0.0,159143919.0,0.0,0.0,0.0,0.0,0.0,1822947.0,0.0,0.0,0.0,0.0,177965609.0
MICHIGAN,144460802.0,0.0,0.0,0.0,66630218.0,0.0,1202699.0,0.0,0.0,0.0,31984840.0,94961471.0,19346747.0,100439412.0,1217361.0,96225384.0,217904385.0
MINNESOTA,71162579.0,0.0,0.0,0.0,52164548.0,0.0,3513228.0,0.0,21928000.0,0.0,38102534.0,814681.0,0.0,29952853.0,162627.0,0.0,3716855.0
MISSISSIPPI,11301884.0,0.0,6581313.0,0.0,19749533.0,0.0,9202071.0,0.0,0.0,0.0,0.0,4273167.0,79965.0,2454498.0,419661.0,0.0,4561505.0
MISSOURI,30409037.0,0.0,0.0,0.0,0.0,18394640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108102589.0,40709101.0
MONTANA,15341135.0,0.0,0.0,1709409.0,2550243.0,370306.0,0.0,0.0,0.0,0.0,0.0,624720.0,0.0,3200952.0,2661723.0,1773513.0,516180.0
NEBRASKA,16229363.0,0.0,0.0,0.0,15491195.0,0.0,0.0,0.0,0.0,0.0,0.0,210558.0,0.0,2908550.0,618449.0,0.0,1857242.0
NEVADA,17806953.0,0.0,578789.0,0.0,117102.0,0.0,566343.0,0.0,0.0,0.0,0.0,0.0,0.0,2117829.0,2278366.0,0.0,20532468.0
NEW HAMPSHIRE,1734013.0,0.0,0.0,7334055.0,5598190.0,0.0,1015037.0,0.0,0.0,0.0,302091.0,592323.0,268555.0,3903298.0,1867610.0,0.0,2508596.0
NEW JERSEY,240613518.0,-15603797.0,13334054.0,0.0,58884063.0,0.0,1234692.0,48532.0,18393000.0,0.0,11075792.0,22989481.0,7285700.0,50271402.0,4865127.0,6840000.0,1976959.0
NEW MEXICO,52134053.0,0.0,202436.0,0.0,8693878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10003197.0,656210.0,0.0,1580647.0
NEW YORK,1152474723.0,0.0,0.0,161133825.0,108997112.0,0.0,5956169.0,0.0,0.0,0.0,148696523.0,15439071.0,0.0,226491465.0,5332661.0,26143086.0,325544925.0
NORTH CAROLINA,56549542.0,0.0,0.0,487900.0,6148127.0,72604015.0,501657.0,0.0,0.0,0.0,453587.0,0.0,93.0,25217696.0,0.0,73537182.0,3356037.0
