,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
U.S. TOTAL,6888899018.0,302616191.0,279052633.0,639978251.0,2578054024.0,1122963043.0,166066092.0,2143068.0,273140995.0,0.0,502821850.0,511551843.0,262040826.0,1395729212.0,205936236.0,1060151464.0,1873584756.0
ALABAMA,49093777.0,0.0,1214688.0,0.0,15495352.0,0.0,801764.0,0.0,0.0,0.0,30898778.0,1006342.0,1035890.0,10300762.0,-155089.0,0.0,30782699.0
ALASKA,8984500.0,5075147.0,929622.0,0.0,6090743.0,-2205666.0,156550.0,0.0,0.0,0.0,40755.0,257955.0,0.0,1817121.0,197796.0,0.0,0.0
ARIZONA,92796404.0,0.0,2006209.0,0.0,6111178.0,3421173.0,208753.0,0.0,0.0,0.0,9654965.0,0.0,0.0,24430754.0,1390847.0,36920305.0,15460988.0
ARKANSAS,16162976.0,0.0,0.0,0.0,53912602.0,23331478.0,5673754.0,841020.0,0.0,0.0,1911950.0,1032198.0,4388846.0,13214200.0,3047060.0,13019814.0,0.0
CALIFORNIA,2135058174.0,155016865.0,125658745.0,230287622.0,752254265.0,80867049.0,54256342.0,0.0,0.0,0.0,78094085.0,26311687.0,0.0,349928971.0,51255952.0,0.0,235306523.0
COLORADO,67346204.0,0.0,5419221.0,0.0,1133831.0,1860806.0,962382.0,0.0,0.0,0.0,4825377.0,568585.0,0.0,8241642.0,6401592.0,946915.0,107469410.0
CONNECTICUT,22143143.0,0.0,0.0,1627980.0,10525255.0,0.0,3110288.0,0.0,0.0,0.0,5503690.0,73783266.0,21918839.0,14463297.0,0.0,14134265.0,99836106.0
DELAWARE,509138.0,30580.0,179408.0,920.0,8524804.0,23992951.0,0.0,0.0,0.0,0.0,4978329.0,0.0,-11.0,695009.0,588642.0,0.0,-616726.0
DIST.OF COLUMBIA,21239992.0,0.0,0.0,0.0,5082590.0,36947695.0,0.0,0.0,0.0,0.0,0.0,1439762.0,10500000.0,6426746.0,2760725.0,0.0,28263771.0
FLORIDA,54171225.0,23597538.0,486987.0,0.0,98824847.0,93780071.0,5695380.0,0.0,0.0,0.0,1272680.0,2629663.0,50.0,21130093.0,1361699.0,0.0,186561672.0
GEORGIA,46024930.0,0.0,9276977.0,0.0,64259450.0,0.0,0.0,0.0,0.0,0.0,6646929.0,11813330.0,15642730.0,14861350.0,970167.0,37765235.0,182628840.0
HAWAII,56918230.0,6007935.0,555302.0,7733862.0,56467230.0,4423548.0,859194.0,0.0,0.0,0.0,1329345.0,14034415.0,0.0,7182022.0,2488610.0,0.0,0.0
IDAHO,6195466.0,0.0,110727.0,0.0,1737962.0,0.0,0.0,0.0,0.0,0.0,1750213.0,436037.0,449306.0,1665952.0,6906578.0,1377979.0,1115904.0
ILLINOIS,37462304.0,0.0,3775559.0,0.0,241212688.0,130277922.0,423373.0,0.0,16586228.0,0.0,5415613.0,0.0,0.0,22851435.0,623700.0,224382817.0,41356956.0
INDIANA,91937263.0,0.0,0.0,0.0,12149694.0,0.0,0.0,0.0,0.0,0.0,0.0,438716.0,0.0,23336053.0,8035168.0,0.0,42265510.0
IOWA,46289618.0,0.0,0.0,0.0,15384689.0,5732994.0,1066514.0,0.0,0.0,0.0,160170.0,51956418.0,0.0,3060560.0,662150.0,849547.0,0.0
KANSAS,39174260.0,0.0,8566716.0,21313812.0,2014804.0,7484638.0,1382390.0,0.0,18687361.0,0.0,11398780.0,0.0,0.0,8753760.0,1065231.0,0.0,10599067.0
KENTUCKY,74637066.0,19398196.0,6800850.0,0.0,56781490.0,4549357.0,4744320.0,0.0,0.0,0.0,0.0,0.0,0.0,9334600.0,2444330.0,0.0,16123589.0
LOUISIANA,40841357.0,0.0,1896921.0,0.0,10297201.0,0.0,3839754.0,1273003.0,0.0,0.0,0.0,34697231.0,57718003.0,13220118.0,1935176.0,0.0,7231631.0
MAINE,47995158.0,6129048.0,9094968.0,0.0,8821696.0,7296215.0,2234800.0,0.0,0.0,0.0,7605421.0,0.0,0.0,5499652.0,135693.0,1184266.0,0.0
MARYLAND,117179053.0,0.0,0.0,0.0,46722407.0,354595.0,7019390.0,0.0,0.0,0.0,6742198.0,44047194.0,53901863.0,43440805.0,3995496.0,0.0,0.0
MASSACHUSETTS,78838051.0,0.0,0.0,0.0,0.0,173548755.0,0.0,0.0,0.0,0.0,2997573.0,25565729.0,0.0,10743692.0,0.0,0.0,128908195.0
MICHIGAN,470611082.0,47090674.0,0.0,0.0,83356017.0,7550925.0,688001.0,0.0,0.0,0.0,11992734.0,110153040.0,22909522.0,101611055.0,8470971.0,87815151.0,134054925.0
MINNESOTA,66779428.0,0.0,0.0,0.0,76228278.0,0.0,6286302.0,0.0,38366000.0,0.0,48304748.0,1156000.0,0.0,25428363.0,863402.0,0.0,5508321.0
MISSISSIPPI,16988305.0,0.0,13173177.0,0.0,20504164.0,-4249.0,12741884.0,0.0,0.0,0.0,0.0,9631075.0,91810.0,3852832.0,402585.0,0.0,6560083.0
MISSOURI,55542430.0,0.0,0.0,0.0,38184935.0,0.0,0.0,0.0,0.0,0.0,10685981.0,0.0,0.0,4399031.0,2009150.0,83080192.0,18493665.0
MONTANA,17902389.0,0.0,0.0,2252249.0,5578238.0,53359.0,0.0,0.0,0.0,0.0,148351.0,665833.0,0.0,3466822.0,664215.0,1643070.0,1389721.0
NEBRASKA,17344283.0,0.0,0.0,0.0,11409122.0,0.0,0.0,0.0,0.0,0.0,0.0,114930.0,0.0,3900429.0,1170911.0,0.0,0.0
NEVADA,26815643.0,0.0,2677147.0,0.0,114472.0,0.0,818396.0,0.0,0.0,0.0,0.0,0.0,0.0,1994186.0,2571364.0,4093159.0,12923743.0
NEW HAMPSHIRE,24273423.0,0.0,0.0,6521338.0,5913835.0,0.0,1225415.0,0.0,0.0,0.0,465760.0,716209.0,0.0,4183417.0,2173219.0,0.0,509426.0
NEW JERSEY,197693469.0,2206682.0,9615476.0,0.0,64568418.0,0.0,756857.0,28003.0,168702044.0,0.0,40026612.0,36212859.0,6512245.0,36259589.0,5479420.0,6840000.0,2211204.0
NEW MEXICO,94297125.0,14400000.0,772045.0,0.0,15098742.0,500000.0,803772.0,0.0,0.0,0.0,0.0,3267536.0,599951.0,8212838.0,1405291.0,0.0,4400000.0
NEW YORK,1203746223.0,0.0,0.0,262591841.0,168338289.0,0.0,12599038.0,0.0,0.0,0.0,97642052.0,17668258.0,311362.0,201711286.0,18735853.0,78047944.0,326702516.0
NORTH CAROLINA,74949693.0,0.0,0.0,574864.0,11425296.0,44031817.0,1162865.0,0.0,0.0,0.0,2601606.0,1862.0,2012.0,18575537.0,910026.0,91847852.0,1980436.0
NORTH DAKOTA,468451.0,0.0,1517656.0,10295663.0,4935077.0,0.0,188586.0,0.0,0.0,0.0,45538.0,0.0,2300048.0,3664847.0,800331.0,3370815.0,229066.0
OHIO,388830101.0,0.0,-549056.0,0.0,72458314.0,154546453.0,10456774.0,0.0,755.0,0.0,27420370.0,4321039.0,7457856.0,86383474.0,0.0,0.0,53225118.0
OKLAHOMA,14461143.0,2338267.0,13685742.0,8943281.0,3997842.0,30660359.0,0.0,0.0,0.0,0.0,6081359.0,696385.0,4173702.0,13420308.0,1219105.0,0.0,19201543.0
OREGON,128972192.0,6350446.0,3228252.0,11238189.0,17659090.0,4065192.0,667385.0,0.0,0.0,0.0,0.0,123082.0,0.0,20566089.0,5521304.0,0.0,51806723.0
PENNSYLVANIA,179756941.0,0.0,8783696.0,0.0,142405990.0,32411801.0,5579491.0,0.0,0.0,0.0,22027612.0,23323886.0,2130485.0,46993792.0,9329718.0,61341189.0,-4392.0
RHODE ISLAND,39497327.0,2866498.0,87996.0,0.0,7346948.0,2214651.0,3187822.0,0.0,0.0,0.0,0.0,0.0,0.0,7249184.0,1400983.0,0.0,10220546.0
SOUTH CAROLINA,44583761.0,0.0,5501591.0,0.0,21774096.0,0.0,806586.0,0.0,0.0,0.0,0.0,2046666.0,0.0,7278615.0,1514873.0,0.0,46321786.0
SOUTH DAKOTA,10714082.0,0.0,0.0,5936489.0,2954558.0,0.0,45291.0,0.0,0.0,0.0,18058.0,0.0,0.0,1457309.0,0.0,0.0,1187141.0
