,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,NON-RECURRENT SHORT-TERM BENEFITS,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
U.S. TOTAL,5254652818.0,268016212.0,255879888.0,670156776.0,1927990980.0,1084113242.0,156056064.0,2126290.0,157079151.0,0.0,331410974.0,418507687.0,267079277.0,1313374517.0,162076546.0,971928140.0,1942900892.0
ALABAMA,53974713.0,0.0,1603499.0,0.0,16204622.0,0.0,987603.0,0.0,0.0,0.0,167509.0,1083076.0,1048961.0,13344293.0,367714.0,5567996.0,15387871.0
ALASKA,9235413.0,1758456.0,483771.0,0.0,12501793.0,0.0,153010.0,0.0,0.0,0.0,126259.0,389271.0,0.0,3416340.0,419016.0,0.0,0.0
ARIZONA,87439348.0,0.0,524202.0,0.0,7690077.0,16419619.0,-73933.0,0.0,0.0,0.0,18765343.0,0.0,0.0,23748712.0,1054239.0,13930630.0,64919483.0
ARKANSAS,15706228.0,0.0,0.0,0.0,28043615.0,-156206.0,2763445.0,787297.0,0.0,0.0,-103805.0,498805.0,2735868.0,9576703.0,1489310.0,0.0,8144382.0
CALIFORNIA,1648397125.0,141239971.0,125510666.0,219198727.0,592955097.0,50890278.0,50240546.0,0.0,0.0,0.0,-1120105.0,24781171.0,0.0,308438055.0,41270648.0,0.0,255660822.0
COLORADO,74905399.0,0.0,4046953.0,0.0,5590974.0,98401.0,882846.0,0.0,0.0,0.0,3627941.0,403374.0,84717.0,11464901.0,6002257.0,287660.0,68677745.0
CONNECTICUT,3310740.0,0.0,0.0,1576662.0,-109550.0,0.0,2916600.0,0.0,0.0,0.0,5398196.0,58469859.0,22281302.0,13607953.0,0.0,15165257.0,122870036.0
DELAWARE,13375881.0,3283314.0,399657.0,515.0,-420135.0,9373310.0,388000.0,0.0,0.0,0.0,1017823.0,1825000.0,0.0,3007820.0,-638909.0,0.0,1.0
DIST.OF COLUMBIA,23697533.0,0.0,0.0,0.0,6877029.0,36947695.0,0.0,0.0,0.0,0.0,0.0,1443876.0,10000000.0,5527484.0,2270955.0,15460000.0,5280851.0
FLORIDA,29365813.0,24069250.0,453678.0,0.0,73674047.0,88489916.0,4451712.0,0.0,0.0,0.0,5252194.0,1205639.0,0.0,19512448.0,1571570.0,0.0,179788511.0
GEORGIA,48354015.0,0.0,12475706.0,0.0,21534843.0,0.0,0.0,0.0,0.0,0.0,16889711.0,13717169.0,16430860.0,25203758.0,619336.0,33148982.0,199759860.0
HAWAII,32974768.0,0.0,673475.0,4845075.0,14921862.0,0.0,873200.0,0.0,0.0,0.0,1554717.0,18673878.0,0.0,5495088.0,2218664.0,0.0,0.0
IDAHO,-428199.0,0.0,117515.0,0.0,5957116.0,0.0,0.0,0.0,0.0,0.0,-1134571.0,432310.0,-3205412.0,3305294.0,-10456249.0,18072525.0,202356.0
ILLINOIS,68486978.0,0.0,3962086.0,0.0,68294932.0,132805678.0,470102.0,0.0,16496030.0,0.0,2418382.0,0.0,0.0,23137518.0,1206822.0,243096186.0,44473123.0
INDIANA,71524114.0,0.0,0.0,0.0,12527058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19661651.0,4989159.0,5097281.0,22076704.0
IOWA,36338488.0,0.0,0.0,0.0,14532950.0,0.0,876745.0,0.0,0.0,0.0,177784.0,55776262.0,0.0,7548821.0,502475.0,123198.0,0.0
KANSAS,21237805.0,0.0,9398652.0,19694478.0,1472722.0,5117448.0,2144825.0,0.0,3398000.0,0.0,8830.0,0.0,0.0,10513267.0,4038277.0,0.0,13415071.0
KENTUCKY,73386390.0,16641901.0,14639940.0,0.0,22337824.0,-933081.0,3570850.0,0.0,0.0,0.0,0.0,0.0,0.0,4249126.0,3220310.0,0.0,17887662.0
LOUISIANA,82843626.0,0.0,1825285.0,0.0,7871725.0,0.0,2956649.0,1203053.0,0.0,0.0,0.0,1599318.0,62525429.0,17482153.0,693184.0,1543.0,33366337.0
MAINE,45633194.0,3975842.0,7602879.0,0.0,11420625.0,5271205.0,2092798.0,0.0,0.0,0.0,434005.0,0.0,0.0,3650271.0,175192.0,1140683.0,0.0
MARYLAND,81203652.0,0.0,0.0,0.0,35945435.0,164566.0,7807755.0,0.0,0.0,0.0,4150120.0,137427.0,55652189.0,31154241.0,3946634.0,0.0,0.0
MASSACHUSETTS,9570141.0,0.0,0.0,0.0,0.0,176762526.0,0.0,0.0,0.0,0.0,0.0,26222793.0,0.0,4792517.0,0.0,0.0,127180357.0
MICHIGAN,92652098.0,8453554.0,0.0,0.0,68692715.0,6120899.0,1291774.0,0.0,0.0,0.0,854457.0,114715248.0,22591221.0,101871250.0,6852820.0,89023477.0,152000329.0
MINNESOTA,42081521.0,0.0,0.0,0.0,71120116.0,0.0,4432431.0,0.0,24145000.0,0.0,25796321.0,1156000.0,0.0,27529820.0,141685.0,0.0,4341736.0
MISSISSIPPI,12444223.0,0.0,11341899.0,0.0,37193350.0,4249.0,11454279.0,0.0,0.0,0.0,0.0,6516845.0,71891.0,4752828.0,364241.0,0.0,3973442.0
MISSOURI,34843543.0,0.0,0.0,0.0,7786118.0,0.0,0.0,0.0,0.0,0.0,15473030.0,0.0,0.0,4487642.0,1996832.0,81644702.0,44153961.0
MONTANA,16709520.0,0.0,0.0,1875876.0,2325014.0,673295.0,0.0,0.0,0.0,0.0,6593.0,682015.0,0.0,3212975.0,1858297.0,1358828.0,1219330.0
NEBRASKA,19122747.0,0.0,0.0,0.0,24031271.0,0.0,0.0,0.0,0.0,0.0,0.0,245255.0,0.0,4289496.0,1026121.0,0.0,4144039.0
NEVADA,24259246.0,0.0,2081846.0,0.0,159094.0,0.0,680701.0,0.0,0.0,0.0,0.0,0.0,0.0,2104356.0,1777934.0,3249751.0,21339260.0
NEW HAMPSHIRE,17994992.0,0.0,0.0,7391834.0,4406735.0,0.0,1287038.0,0.0,0.0,0.0,546420.0,768514.0,0.0,4499484.0,1930390.0,0.0,1604548.0
NEW JERSEY,128140998.0,22793343.0,8990331.0,0.0,41550674.0,0.0,1282247.0,102530.0,34206482.0,0.0,3894583.0,12123792.0,5793498.0,32420658.0,4363357.0,6840000.0,1400052.0
NEW MEXICO,80630886.0,0.0,12775.0,0.0,8432634.0,0.0,31596.0,0.0,0.0,0.0,0.0,1074148.0,0.0,8827853.0,1422161.0,0.0,1008000.0
NEW YORK,1051427915.0,0.0,0.0,301822493.0,160169534.0,0.0,10735420.0,0.0,0.0,0.0,112573576.0,25507538.0,1965690.0,189102523.0,14162270.0,38946844.0,338872028.0
NORTH CAROLINA,58364304.0,16271769.0,0.0,524911.0,48795698.0,69123511.0,849001.0,2000.0,0.0,0.0,3256321.0,0.0,0.0,19038615.0,205028.0,95737699.0,1919040.0
NORTH DAKOTA,403513.0,0.0,874310.0,10931233.0,4061520.0,0.0,485212.0,0.0,0.0,0.0,29872.0,0.0,1892762.0,3489646.0,662096.0,2885497.0,145792.0
OHIO,301325624.0,0.0,9365.0,0.0,41828996.0,182744823.0,10358745.0,0.0,0.0,0.0,16431195.0,7089603.0,5721848.0,98275587.0,0.0,0.0,54275858.0
OKLAHOMA,10834254.0,1179365.0,13654945.0,8729138.0,1058277.0,37322444.0,0.0,0.0,0.0,0.0,4503933.0,724584.0,3709842.0,11531668.0,1020942.0,0.0,18244008.0
OREGON,81859293.0,9015779.0,3564989.0,10208249.0,19300002.0,20583.0,307026.0,0.0,0.0,0.0,0.0,69430.0,0.0,17331337.0,3968951.0,0.0,29492921.0
PENNSYLVANIA,158280767.0,0.0,12395404.0,0.0,132832585.0,29472059.0,10005867.0,0.0,0.0,0.0,36488187.0,28858690.0,2175542.0,44895684.0,9652851.0,60390781.0,-240209.0
RHODE ISLAND,35216417.0,-949854.0,125046.0,0.0,9343223.0,7571638.0,3287584.0,0.0,0.0,0.0,0.0,0.0,0.0,8755018.0,2257438.0,805031.0,8920070.0
SOUTH CAROLINA,36140779.0,0.0,1877538.0,0.0,15318638.0,11200000.0,66798.0,0.0,0.0,0.0,0.0,156119.0,0.0,8160405.0,2684578.0,0.0,29361359.0
SOUTH DAKOTA,9826534.0,0.0,0.0,6827014.0,2445439.0,0.0,63634.0,0.0,0.0,0.0,582971.0,0.0,0.0,1959531.0,0.0,0.0,839217.0
TENNESSEE,124130958.0,10092090.0,0.0,0.0,64535387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13388796.0,3386734.0,0.0,139523.0
TEXAS,41607782.0,0.0,304638.0,54082033.0,78320554.0,0.0,6243321.0,30020.0,0.0,0.0,21010951.0,6243821.0,7452683.0,74228034.0,18140576.0,228132937.0,14262059.0
UTAH,29995618.0,6000000.0,212257.0,0.0,30303782.0,0.0,0.0,0.0,0.0,0.0,4428204.0,3701336.0,622550.0,9378078.0,1341145.0,0.0,0.0
VERMONT,-767202.0,0.0,1678746.0,3450337.0,158645.0,1730830.0,0.0,0.0,20151139.0,0.0,2168215.0,0.0,0.0,4385271.0,424094.0,0.0,0.0
VIRGINIA,71840255.0,1743321.0,0.0,0.0,19843324.0,97553.0,5888787.0,1390.0,0.0,0.0,1804847.0,0.0,34551666.0,5766361.0,465320.0,0.0,4158225.0
WASHINGTON,207792044.0,0.0,0.0,0.0,33767531.0,35533065.0,2257866.0,0.0,0.0,0.0,273014.0,0.0,0.0,14231625.0,3875092.0,11484593.0,0.0
WEST VIRGINIA,7941805.0,2448111.0,15037835.0,18998201.0,5858580.0,30176608.0,0.0,0.0,0.0,0.0,20488681.0,1898728.0,8371321.0,10616390.0,6382300.0,36930.0,9253474.0
WISCONSIN,21321972.0,0.0,0.0,0.0,34273154.0,148970330.0,1543984.0,0.0,58682500.0,0.0,3169270.0,316793.0,4604849.0,16897093.0,6672872.0,299129.0,1927534.0
WYOMING,7697247.0,0.0,0.0,0.0,253729.0,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108079.0,79817.0,0.0,17054124.0
