,Total Basic Assistance,Foster Care,Juvenile Justice Payments,Emergency Assistance,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3698513083.0,692340765.0,76293724.0,362163785.0,2319776984.0,422041379.0,1295892101.0,93014187.0,1731527.0,191224218.0,306776089.0,227647931.0,216819388.0,136431511.0,98971798.0,1026881055.0,46384368.0,1106350100.0,787949805.0,168319348.0,78526323.0,13354049469.0
ALABAMA,25672715.0,0.0,0.0,0.0,2811764.0,1009743.0,0.0,0.0,0.0,0.0,7564333.0,654573.0,1144224.0,968027.0,2293450.0,98584.0,899890.0,4016606.0,8019858.0,478199.0,0.0,55631966.0
ALASKA,10825868.0,0.0,0.0,0.0,6956595.0,578171.0,7303852.0,0.0,0.0,0.0,0.0,0.0,0.0,230939.0,0.0,0.0,0.0,8596598.0,398294.0,208203.0,0.0,35098520.0
ARIZONA,44727521.0,44431750.0,0.0,0.0,475817.0,11048681.0,2717800.0,0.0,0.0,0.0,8196228.0,9690790.0,0.0,0.0,0.0,44830868.0,0.0,14133552.0,12336072.0,5287088.0,14.0,197876181.0
ARKANSAS,7039380.0,0.0,0.0,4997751.0,15459789.0,1037689.0,7997820.0,0.0,292378.0,0.0,0.0,0.0,0.0,1096915.0,2685549.0,0.0,0.0,11058792.0,0.0,2793162.0,0.0,54459225.0
CALIFORNIA,658930955.0,0.0,0.0,244156410.0,1275741353.0,246589689.0,112604259.0,0.0,0.0,0.0,264669.0,40855713.0,0.0,11083697.0,0.0,0.0,0.0,264310008.0,212022935.0,42763473.0,0.0,3109323161.0
COLORADO,66523404.0,0.0,0.0,0.0,8346418.0,6197928.0,704828.0,15449.0,1315.0,0.0,2993695.0,1870923.0,264483.0,435958.0,102551.0,120698.0,242727.0,12505751.0,29472202.0,5792531.0,0.0,135590861.0
CONNECTICUT,16672109.0,0.0,0.0,17778981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6933258.0,0.0,66024718.0,17156667.0,56825733.0,0.0,12513083.0,48985038.0,0.0,0.0,242889587.0
DELAWARE,336286.0,0.0,0.0,0.0,3991744.0,0.0,24442307.0,0.0,0.0,0.0,2544277.0,0.0,0.0,0.0,0.0,0.0,0.0,4172948.0,661931.0,561926.0,0.0,36711419.0
DIST. OF COLUMBIA,55510054.0,0.0,0.0,0.0,15059947.0,0.0,36947695.0,0.0,0.0,0.0,0.0,325000.0,0.0,1421787.0,0.0,0.0,1537103.0,5849189.0,2458914.0,1579206.0,0.0,120688895.0
FLORIDA,37270568.0,0.0,0.0,0.0,45918308.0,4712247.0,110225824.0,0.0,0.0,0.0,953259.0,22508558.0,0.0,379213.0,0.0,168253789.0,0.0,33516456.0,0.0,2102687.0,0.0,425840909.0
GEORGIA,67272755.0,14408601.0,0.0,0.0,11922536.0,4357292.0,0.0,0.0,0.0,0.0,105518.0,22232548.0,17068875.0,1057934.0,64871.0,161019507.0,0.0,10312557.0,5030968.0,1409907.0,0.0,316263869.0
HAWAII,21067763.0,0.0,0.0,0.0,1055939.0,1344331.0,0.0,0.0,0.0,0.0,245465.0,684875.0,933091.0,2753437.0,66685.0,4943966.0,0.0,7263623.0,3922271.0,2741112.0,0.0,47022558.0
IDAHO,2916424.0,0.0,0.0,10450969.0,1098654.0,34931.0,4000000.0,1034614.0,0.0,0.0,1402157.0,0.0,0.0,385778.0,0.0,779.0,0.0,3573045.0,0.0,936728.0,0.0,25834079.0
ILLINOIS,49315165.0,0.0,0.0,0.0,18054722.0,2619315.0,108009059.0,0.0,377984.0,60022169.0,564492.0,0.0,0.0,2350644.0,0.0,225358944.0,0.0,0.0,69667198.0,114172.0,0.0,536453864.0
INDIANA,14373849.0,0.0,0.0,0.0,8007795.0,104375.0,26165068.0,0.0,0.0,0.0,0.0,0.0,7985388.0,5010948.0,43351.0,17596052.0,20810789.0,17070580.0,0.0,8587335.0,781299.0,126536829.0
IOWA,4882159.0,0.0,0.0,0.0,5655337.0,402698.0,13524318.0,0.0,0.0,0.0,250677.0,0.0,4921116.0,1535574.0,12154.0,50229077.0,0.0,5348786.0,2609355.0,531170.0,0.0,89902421.0
KANSAS ,16403189.0,19724141.0,0.0,0.0,2143327.0,2230422.0,0.0,0.0,0.0,0.0,0.0,2806969.0,13996246.0,0.0,1018090.0,4044988.0,329700.0,7096531.0,3878431.0,4436132.0,0.0,78108166.0
KENTUCKY,80304372.0,0.0,0.0,0.0,27679242.0,0.0,14340339.0,0.0,0.0,0.0,0.0,11602633.0,0.0,0.0,0.0,0.0,0.0,10468619.0,0.0,1162377.0,0.0,145557582.0
LOUISIANA ,19095016.0,0.0,0.0,12322441.0,2575616.0,1257779.0,0.0,64196860.0,0.0,0.0,0.0,7410449.0,810000.0,1172778.0,0.0,29683806.0,2546853.0,17708449.0,1283467.0,461227.0,0.0,160524741.0
MAINE,12095887.0,0.0,0.0,0.0,1110253.0,2102904.0,4964254.0,2907254.0,0.0,0.0,495477.0,6014596.0,0.0,733652.0,103903.0,3200985.0,934454.0,3716314.0,4953022.0,1376417.0,0.0,44709372.0
MARYLAND,111249881.0,0.0,0.0,0.0,30714255.0,6217825.0,6753913.0,0.0,0.0,0.0,1626785.0,0.0,0.0,247872.0,1845907.0,28647978.0,1086765.0,16316297.0,19604354.0,4375848.0,0.0,228687680.0
MASSACHUSETTS,10053286.0,0.0,0.0,0.0,155747400.0,0.0,196762613.0,4110780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366674079.0
MICHIGAN,111795186.0,47942311.0,0.0,235082.0,3306280.0,48531240.0,0.0,0.0,0.0,0.0,17146076.0,12626023.0,134971442.0,0.0,0.0,35835494.0,0.0,43078773.0,204048302.0,3626944.0,0.0,663143153.0
MINNESOTA,72030079.0,0.0,0.0,0.0,48838183.0,2749028.0,0.0,0.0,0.0,25289000.0,26633513.0,0.0,0.0,1118569.0,0.0,0.0,5371040.0,29215503.0,0.0,104462.0,4323294.0,215672671.0
MISSISSIPPI,6627606.0,0.0,0.0,0.0,5123249.0,5837054.0,1000000.0,0.0,0.0,0.0,0.0,3925383.0,4312145.0,1653.0,1945345.0,16067509.0,0.0,2734604.0,0.0,2270221.0,0.0,49844769.0
