,Total Basic Assistance,Assistance Under Prior Law,Non-Assistance Under Prior Law,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3591288738.0,576287514.0,596814408.0,2792247765.0,404032314.0,1464162869.0,65305632.0,2443334.0,247840774.0,302435001.0,244847198.0,196756308.0,144044594.0,119438883.0,1031106779.0,69303048.0,1050280683.0,860261602.0,180576302.0,51143878.0,13990617624.0
ALABAMA,22317883.0,0.0,0.0,4956376.0,1383851.0,0.0,0.0,0.0,0.0,13592421.0,704845.0,697500.0,677815.0,3126044.0,12773121.0,939664.0,17302737.0,12029343.0,841981.0,0.0,91343581.0
ALASKA,22436326.0,0.0,0.0,8396616.0,544984.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,5095634.0,0.0,5950.0,0.0,36479623.0
ARIZONA,37731823.0,5126960.0,0.0,332469.0,7557969.0,0.0,0.0,0.0,0.0,10368879.0,6920114.0,0.0,0.0,0.0,43109437.0,0.0,18549228.0,42078789.0,4943086.0,0.0,176718754.0
ARKANSAS,5948291.0,0.0,5367697.0,13910883.0,953493.0,8031655.0,0.0,0.0,0.0,0.0,0.0,146337.0,773729.0,2676113.0,231300.0,0.0,10936863.0,0.0,1030131.0,0.0,50006492.0
CALIFORNIA,722580571.0,237261556.0,0.0,1555932992.0,226968120.0,95130986.0,0.0,0.0,0.0,273875.0,37957670.0,0.0,11223319.0,0.0,0.0,0.0,194829941.0,200222052.0,45604109.0,0.0,3327985191.0
COLORADO,79935216.0,0.0,0.0,9721438.0,5140626.0,1026695.0,12916.0,675.0,0.0,2957492.0,1524688.0,257717.0,359036.0,198516.0,845396.0,278143.0,10246288.0,22745239.0,6153237.0,0.0,141403318.0
CONNECTICUT,4412931.0,0.0,18295967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12071606.0,0.0,63916191.0,14796695.0,61383862.0,0.0,12867119.0,51572563.0,0.0,0.0,239316934.0
DELAWARE,526035.0,0.0,0.0,6104297.0,0.0,21708932.0,0.0,0.0,0.0,1937784.0,0.0,0.0,0.0,0.0,0.0,0.0,3820250.0,702759.0,745203.0,0.0,35545260.0
DIST. OF COLUMBIA,64829668.0,0.0,0.0,17745072.0,0.0,36947695.0,0.0,0.0,0.0,0.0,325000.0,0.0,1293726.0,0.0,0.0,1239028.0,7604273.0,1523507.0,793734.0,0.0,132301703.0
FLORIDA,39148258.0,0.0,0.0,46314000.0,4674677.0,95976178.0,0.0,0.0,0.0,933915.0,19521199.0,0.0,298070.0,0.0,141591202.0,0.0,34852005.0,0.0,7162230.0,0.0,390471734.0
