,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Other
U.S. TOTAL,3978870918.0,247172491.0,57774085.0,536040956.0,2183792227.0,29815571.0,0.0,1919156901.0,526151071.0,332639247.0,1433817305.0,43282501.0,813158631.0,43954560.0,2601895005.0
ALABAMA,0.0,66002.0,4156904.0,9600521.0,5451132.0,0.0,0.0,0.0,0.0,23231595.0,463993.0,31119.0,11164132.0,377418.0,25693375.0
ALASKA,30186207.0,3262059.0,0.0,2044561.0,0.0,0.0,0.0,0.0,0.0,24267.0,0.0,0.0,1927079.0,159468.0,0.0
ARIZONA,164729.0,0.0,0.0,1110900.0,10032936.0,0.0,0.0,0.0,0.0,19682048.0,0.0,0.0,16901311.0,491843.0,75128171.0
ARKANSAS,0.0,0.0,0.0,57600.0,1886541.0,651400.0,0.0,0.0,0.0,0.0,92704500.0,0.0,2650000.0,0.0,0.0
CALIFORNIA,1802716940.0,10163049.0,5154678.0,8001198.0,680135707.0,6371352.0,0.0,0.0,0.0,423162.0,6330924.0,482458.0,252026502.0,3449142.0,124774198.0
COLORADO,7773519.0,0.0,243336.0,114885.0,8336.0,73598.0,0.0,0.0,3344333.0,311797.0,1439.0,296.0,3692882.0,310319.0,113857796.0
CONNECTICUT,73523867.0,2725147.0,0.0,16786686.0,33072410.0,2174031.0,0.0,0.0,0.0,0.0,0.0,298128.0,17597065.0,415787.0,79272471.0
DELAWARE,17303827.0,463564.0,0.0,1171433.0,23934550.0,0.0,0.0,0.0,0.0,1903946.0,0.0,0.0,5826360.0,0.0,9069474.0
DIST.OF COLUMBIA,21723802.0,0.0,1600000.0,6434234.0,22143865.0,0.0,0.0,15000000.0,0.0,4692733.0,0.0,0.0,0.0,0.0,24862813.0
FLORIDA,137480914.0,0.0,0.0,0.0,128925050.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,10948700.0,4289693.0,130245311.0
GEORGIA,2329497.0,23309579.0,0.0,1043266.0,0.0,1256129.0,0.0,0.0,0.0,0.0,0.0,991219.0,3188006.0,292233.0,140958598.0
HAWAII,31788520.0,0.0,590140.0,89904392.0,10294518.0,1133591.0,0.0,0.0,0.0,5667448.0,5023888.0,1545160.0,6299902.0,574669.0,30022842.0
IDAHO,6739443.0,0.0,0.0,1544682.0,1175820.0,153813.0,0.0,0.0,0.0,576831.0,0.0,0.0,878020.0,61804.0,2059748.0
ILLINOIS,37586538.0,0.0,195937.0,6066682.0,477419704.0,21715.0,0.0,0.0,0.0,0.0,0.0,0.0,6011296.0,412767.0,72391409.0
INDIANA,8601850.0,0.0,0.0,4725567.0,15356947.0,0.0,0.0,32030790.0,0.0,0.0,0.0,0.0,0.0,0.0,60378737.0
IOWA,50441444.0,10179723.0,3155295.0,5548262.0,12232133.0,945708.0,0.0,13219115.0,0.0,0.0,0.0,0.0,2974817.0,558285.0,0.0
KANSAS,15992033.0,6745104.0,0.0,0.0,0.0,0.0,0.0,56608176.0,0.0,0.0,0.0,0.0,0.0,0.0,18226600.0
KENTUCKY,39387678.0,16446344.0,7431924.0,13480792.0,1485849.0,898600.0,0.0,0.0,0.0,0.0,0.0,0.0,431540.0,4109.0,13577971.0
LOUISIANA,3240398.0,0.0,0.0,0.0,5219488.0,0.0,0.0,19876047.0,0.0,0.0,46254212.0,0.0,42383.0,0.0,1259716.0
MAINE,27834877.0,2639751.0,3295384.0,147565.0,800385.0,520470.0,0.0,0.0,4610550.0,447056.0,0.0,0.0,0.0,0.0,0.0
MARYLAND,51004231.0,0.0,0.0,1200000.0,23267451.0,0.0,0.0,124302769.0,0.0,24782456.0,0.0,91368.0,9256182.0,0.0,86490747.0
MASSACHUSETTS,345478260.0,0.0,0.0,6658504.0,45890034.0,0.0,0.0,107378299.0,0.0,63993493.0,12532224.0,0.0,31318564.0,0.0,54276433.0
MICHIGAN,51674599.0,0.0,0.0,15510054.0,23129083.0,1203792.0,0.0,237535310.0,0.0,264461.0,280032568.0,1227928.0,31244737.0,140740.0,57175041.0
MINNESOTA,37347110.0,0.0,0.0,2851649.0,60662475.0,0.0,0.0,103159346.0,12403001.0,218829.0,0.0,0.0,16168834.0,0.0,5700000.0
MISSISSIPPI,7022625.0,0.0,604258.0,10662104.0,1715430.0,680476.0,0.0,0.0,0.0,0.0,0.0,0.0,734864.0,138858.0,165693.0
MISSOURI,90659697.0,0.0,0.0,17193801.0,16548756.0,0.0,0.0,0.0,0.0,26523114.0,14477674.0,0.0,9353552.0,1747188.0,11282523.0
MONTANA,0.0,1313990.0,0.0,8408062.0,1563684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529603.0,2658241.0,777945.0
NEBRASKA,8313001.0,0.0,0.0,1641644.0,6498998.0,0.0,0.0,28471991.0,6943488.0,0.0,0.0,0.0,0.0,0.0,149687.0
NEVADA,21977583.0,0.0,0.0,1493916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901203.0,1834425.0,22013257.0
NEW HAMPSHIRE,18908425.0,0.0,0.0,1339696.0,4581870.0,284753.0,0.0,0.0,0.0,2222952.0,1292555.0,1412508.0,3014443.0,1522709.0,1806063.0
NEW JERSEY,81352494.0,26374178.0,5351872.0,30813375.0,0.0,0.0,0.0,153376891.0,0.0,3743805.0,440343774.0,142584.0,29162663.0,1944491.0,6885337.0
NEW MEXICO,67419.0,0.0,0.0,0.0,6754945.0,0.0,0.0,47200000.0,0.0,0.0,612855.0,7771032.0,0.0,0.0,37683775.0
