,Total Basic Assistance,Foster Care,Juvenile Justice Payments,Emergency Assistance,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3684037784.0,,,,515626868.0,50646377.0,2437489856.0,2207230707.0,152186.0,2005634372.0,616602382.0,186111845.0,364770459.0,304295543.0,40196952.0,555740578.0,8785633.0,845848704.0,186763287.0,53191622.0,315172680.0,14967178110.0
ALABAMA,0.0,,,,1353764.0,2366663.0,5779463.0,14879283.0,0.0,0.0,38223421.0,10.0,144214.0,0.0,14290.0,23118559.0,80661.0,5759532.0,5540226.0,461672.0,0.0,97721758.0
ALASKA,28590312.0,,,,0.0,127671.0,7870017.0,0.0,0.0,0.0,0.0,0.0,0.0,35858.0,0.0,0.0,0.0,1416504.0,0.0,69401.0,0.0,38109763.0
ARIZONA,0.0,,,,1094855.0,0.0,0.0,0.0,0.0,0.0,0.0,630621.0,0.0,0.0,0.0,127293735.0,0.0,24352260.0,0.0,61614.0,11834767.0,165267852.0
ARKANSAS,0.0,,,,0.0,339600.0,0.0,96594930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924358.0,0.0,211528.0,0.0,99070416.0
CALIFORNIA,1973077682.0,,,,49983761.0,11375528.0,423644801.0,0.0,9944.0,99765.0,515558.0,111662044.0,729105.0,13108284.0,2058787.0,397.0,0.0,282930697.0,35301372.0,5127331.0,45813.0,2909670869.0
COLORADO,8265301.0,,,,738756.0,1235847.0,10704633.0,63811832.0,205.0,71520591.0,18760729.0,190390.0,37247.0,25618.0,8932.0,43960322.0,7101988.0,3215900.0,3176064.0,1182948.0,0.0,239148623.0
CONNECTICUT,42557174.0,,,,13953244.0,0.0,25536029.0,84708559.0,0.0,0.0,0.0,2026488.0,0.0,0.0,663071.0,0.0,0.0,21919436.0,0.0,10516556.0,0.0,201880557.0
DELAWARE,19275676.0,,,,959000.0,0.0,47091336.0,0.0,0.0,0.0,2128304.0,0.0,0.0,0.0,0.0,0.0,0.0,96892.0,10263392.0,41655.0,0.0,79856255.0
DIST. OF COLUMBIA,44040393.0,,,,23089133.0,0.0,22584565.0,0.0,0.0,30196659.0,52684109.0,781314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5008960.0,178385133.0
FLORIDA,130242001.0,,,,0.0,0.0,128925050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94858380.0,0.0,8574425.0,0.0,6917143.0,0.0,369516999.0
GEORGIA,16296371.0,,,,1988086.0,0.0,22182651.0,0.0,0.0,0.0,0.0,0.0,49883609.0,0.0,0.0,82778952.0,0.0,38859.0,75251.0,124748.0,0.0,173368527.0
HAWAII,21316293.0,,,,67352417.0,995772.0,4971633.0,0.0,0.0,0.0,220901.0,17573072.0,15630578.0,109678.0,4854500.0,132000.0,0.0,6055773.0,6362181.0,1231411.0,12019831.0,158826040.0
IDAHO,5000686.0,,,,3313550.0,91227.0,1175820.0,433767.0,0.0,0.0,70080.0,0.0,0.0,0.0,0.0,1401427.0,0.0,1321099.0,0.0,217723.0,0.0,13025379.0
ILLINOIS,4199198.0,,,,123492.0,64455.0,518249644.0,40763373.0,0.0,0.0,0.0,5803515.0,0.0,0.0,0.0,0.0,0.0,0.0,754674.0,5059.0,0.0,569963410.0
INDIANA,4183869.0,,,,479233.0,0.0,15356947.0,0.0,0.0,32034389.0,0.0,0.0,13390596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48080489.0,113525523.0
IOWA,35471135.0,,,,6746316.0,1494101.0,8921568.0,0.0,0.0,26754944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451671.0,3004596.0,439669.0,0.0,84284000.0
KANSAS ,0.0,,,,0.0,0.0,6673025.0,13440673.0,0.0,46157342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66271040.0
