,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
U.S. TOTAL,3810243024.0,265731332.0,66037049.0,,723495499.0,2378059115.0,42401587.0,541401.0,1931695332.0,548825752.0,585571245.0,1431420860.0,31428694.0,834767005.0,50350416.0,,2490178224.0
ALABAMA,0.0,81184.0,4338356.0,,8410587.0,5281213.0,22584.0,0.0,0.0,0.0,254821.0,460481.0,251682.0,6004138.0,185745.0,,25321527.0
ALASKA,30676488.0,3544811.0,0.0,,4005043.0,0.0,0.0,0.0,0.0,0.0,275798.0,0.0,0.0,1749168.0,82233.0,,0.0
ARIZONA,12098460.0,0.0,115111.0,,1691212.0,10032936.0,4578.0,0.0,0.0,0.0,25085977.0,0.0,0.0,21971512.0,26019.0,,86631310.0
ARKANSAS,0.0,0.0,0.0,,228637.0,1886541.0,699800.0,0.0,0.0,0.0,0.0,90902655.0,0.0,2525616.0,0.0,,0.0
CALIFORNIA,1813334239.0,7533380.0,11474187.0,,74780934.0,681685004.0,5962209.0,0.0,0.0,0.0,12949807.0,7358302.0,308724.0,217335345.0,4610786.0,,127237710.0
COLORADO,3847636.0,0.0,234088.0,,53041.0,97466.0,60480.0,0.0,0.0,3526335.0,170178.0,73449.0,0.0,3375000.0,149157.0,,106503639.0
CONNECTICUT,70727296.0,4523504.0,0.0,,24485749.0,29559776.0,2438713.0,0.0,0.0,0.0,10942794.0,0.0,237291.0,15177632.0,428502.0,,74657136.0
DELAWARE,10269964.0,24798.0,134065.0,,476832.0,5141479.0,0.0,0.0,0.0,0.0,35668.0,317057.0,0.0,7145200.0,0.0,,12142108.0
DIST.OF COLUMBIA,31910620.0,10602000.0,2069309.0,,18001772.0,22143865.0,0.0,0.0,21934532.0,0.0,22667616.0,380000.0,0.0,0.0,0.0,,8863158.0
FLORIDA,133185586.0,0.0,0.0,,7017414.0,128925050.0,0.0,0.0,0.0,0.0,114485.0,2175097.0,0.0,11373969.0,4612853.0,,123969408.0
GEORGIA,2290684.0,22182651.0,2916958.0,,2943479.0,0.0,1036757.0,0.0,0.0,0.0,0.0,0.0,0.0,4662372.0,380899.0,,136954728.0
HAWAII,13222829.0,0.0,458657.0,,103150407.0,18410785.0,918824.0,0.0,0.0,0.0,24707666.0,23868179.0,72155.0,5523201.0,811787.0,,28632047.0
IDAHO,0.0,0.0,0.0,,4568084.0,1175820.0,167286.0,0.0,0.0,0.0,730707.0,0.0,0.0,422057.0,3825380.0,,2136045.0
ILLINOIS,34807631.0,0.0,178187.0,,48078463.0,354973017.0,10475.0,0.0,0.0,0.0,1777927.0,0.0,0.0,9765402.0,532717.0,,80186289.0
INDIANA,0.0,0.0,0.0,,1121035.0,15356947.0,0.0,381896.0,32088241.0,0.0,0.0,0.0,0.0,0.0,0.0,,116461424.0
IOWA,24166919.0,11184251.0,4215039.0,,5614592.0,3657820.0,1156877.0,0.0,12300169.0,0.0,882819.0,0.0,0.0,4787226.0,533214.0,,0.0
KANSAS,11181067.0,11279322.0,0.0,,0.0,0.0,0.0,0.0,25615497.0,0.0,18322.0,0.0,0.0,0.0,0.0,,28086532.0
KENTUCKY,48202148.0,3589250.0,6771434.0,,15012445.0,922227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907396.0,540000.0,,10060794.0
LOUISIANA,0.0,0.0,0.0,,0.0,5046520.0,0.0,0.0,19149028.0,6118422.0,0.0,41180678.0,0.0,2628782.0,0.0,,16432196.0
MAINE,29972979.0,2714196.0,3699210.0,,208093.0,998370.0,874743.0,0.0,0.0,4638806.0,2268874.0,0.0,0.0,0.0,0.0,,0.0
MARYLAND,7236245.0,0.0,0.0,,459476.0,23301408.0,0.0,0.0,123641864.0,0.0,54763162.0,8000000.0,3095690.0,19049376.0,921790.0,,0.0
MASSACHUSETTS,257688180.0,0.0,0.0,,20445622.0,44973368.0,132313.0,0.0,100115974.0,0.0,83789421.0,13658660.0,0.0,23122791.0,0.0,,57149585.0
MICHIGAN,75657839.0,0.0,0.0,,16620067.0,20527137.0,25263.0,0.0,203666766.0,0.0,38678560.0,222783872.0,5605300.0,12438472.0,791707.0,,19907408.0
MINNESOTA,29051240.0,0.0,0.0,,2290252.0,64614799.0,0.0,0.0,83184825.0,0.0,385309.0,0.0,0.0,19349802.0,755366.0,,6730431.0
MISSISSIPPI,2871193.0,0.0,491044.0,,14258457.0,1715430.0,606792.0,0.0,0.0,0.0,0.0,0.0,0.0,90722.0,215791.0,,1474879.0
MISSOURI,50178200.0,0.0,0.0,,3626021.0,51002283.0,0.0,0.0,0.0,0.0,61929166.0,0.0,0.0,4399031.0,2009150.0,,19034632.0
MONTANA,511000.0,1313990.0,0.0,,10344107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471812.0,384961.0,,501185.0
NEBRASKA,13973381.0,0.0,0.0,,9395182.0,6499000.0,0.0,0.0,27323965.0,7019025.0,0.0,0.0,0.0,0.0,0.0,,305819.0
NEVADA,14780606.0,1401083.0,0.0,,3770615.0,1179338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586487.0,1011204.0,,31516414.0
NEW HAMPSHIRE,13546677.0,0.0,0.0,,2652147.0,4581870.0,460127.0,0.0,0.0,0.0,3959788.0,2019470.0,145843.0,4680403.0,1475814.0,,6756908.0
NEW JERSEY,68322707.0,26374178.0,5229858.0,,41730448.0,0.0,1619453.0,0.0,245217626.0,0.0,13016571.0,426678256.0,332746.0,30299412.0,2652511.0,,7158497.0
NEW MEXICO,1341127.0,5889358.0,0.0,,0.0,0.0,0.0,0.0,44700000.0,0.0,0.0,1380292.0,8185219.0,0.0,0.0,,31834243.0
NEW YORK,464049870.0,101983998.0,0.0,,21404342.0,0.0,2999140.0,0.0,903612609.0,521293910.0,132703776.0,245862070.0,1320445.0,216174201.0,5239131.0,,341919135.0
NORTH CAROLINA,0.0,0.0,0.0,,48935280.0,62924579.0,4777884.0,0.0,51088580.0,0.0,5520741.0,85132263.0,0.0,22558127.0,385533.0,,34058272.0
NORTH DAKOTA,7152401.0,1017036.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872185.0,0.0,27664.0,,0.0
OHIO,117568743.0,0.0,0.0,,10048944.0,285689519.0,0.0,0.0,0.0,0.0,31586373.0,21673098.0,0.0,56975149.0,1462820.0,,1791960.0
OKLAHOMA,9985828.0,10630233.0,13180831.0,,0.0,0.0,0.0,0.0,0.0,0.0,360058.0,695231.0,4216246.0,9017957.0,1238329.0,,10795001.0
OREGON,71045855.0,16474737.0,3109031.0,,14221880.0,2280440.0,471019.0,0.0,0.0,1047514.0,0.0,0.0,0.0,835177.0,397209.0,,31554360.0
