,Total Basic Assistance,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3555545523.0,459134285.0,47920732.0,2281741391.0,2534617242.0,223428.0,1971234385.0,630065023.0,202491537.0,401162760.0,341190918.0,45398777.0,540693254.0,20581398.0,791348833.0,109309866.0,67153346.0,221550851.0,14762618990.0
ALABAMA,0.0,40948.0,2494627.0,5778696.0,22273431.0,0.0,0.0,22164187.0,25.0,0.0,0.0,0.0,29390216.0,1572320.0,5844596.0,2756236.0,13483.0,0.0,92328765.0
ALASKA,24982321.0,33348.0,0.0,2661026.0,0.0,0.0,0.0,303110.0,0.0,7187759.0,0.0,0.0,0.0,0.0,1190197.0,0.0,0.0,200764.0,36558525.0
ARIZONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127688331.0,0.0,0.0,0.0,4608698.0,0.0,132297029.0
ARKANSAS,0.0,57872.0,256801.0,0.0,108351270.0,0.0,0.0,0.0,0.0,333792.0,0.0,0.0,0.0,0.0,2437288.0,7286.0,10000.0,0.0,111454309.0
CALIFORNIA,1849878336.0,55091505.0,10997455.0,540986816.0,0.0,50.0,0.0,446575.0,104778193.0,884096.0,15226051.0,2570529.0,3175.0,0.0,287600229.0,36598451.0,3608611.0,14298.0,2908684370.0
COLORADO,7868118.0,563909.0,1142600.0,11217721.0,61925347.0,29.0,73096770.0,15898723.0,147422.0,36945.0,16204.0,6289.0,45521297.0,8379490.0,2673330.0,2648767.0,2395579.0,0.0,238574577.0
CONNECTICUT,50235960.0,11731629.0,0.0,13312910.0,76203424.0,0.0,56443535.0,0.0,1327105.0,0.0,0.0,100000.0,0.0,0.0,22003663.0,0.0,326483.0,0.0,231684709.0
DELAWARE,12957608.0,959000.0,0.0,56247481.0,0.0,0.0,0.0,802208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15385084.0,0.0,0.0,86351381.0
DIST. OF COLUMBIA,92188576.0,19420050.0,0.0,22169365.0,0.0,0.0,0.0,67558860.0,1095609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202432460.0
FLORIDA,123882241.0,0.0,0.0,112188903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118144807.0,0.0,21512549.0,0.0,4141334.0,0.0,379869834.0
GEORGIA,27898532.0,0.0,0.0,22182651.0,0.0,0.0,0.0,0.0,0.0,40413205.0,0.0,0.0,75792252.0,0.0,5138988.0,122220.0,1820679.0,0.0,173368527.0
HAWAII,11038923.0,40562015.0,1048293.0,9512580.0,180583.0,10272.0,0.0,5518536.0,21711532.0,5093348.0,6490616.0,3469444.0,66411.0,263835.0,4683194.0,5503352.0,1371235.0,32508068.0,149032237.0
IDAHO,6294908.0,1419772.0,71838.0,1175820.0,450000.0,0.0,0.0,40448.0,0.0,0.0,0.0,0.0,1507006.0,0.0,1637037.0,0.0,428550.0,0.0,13025379.0
ILLINOIS,4963891.0,201698.0,64311.0,437923962.0,106475907.0,0.0,0.0,175569.0,9521097.0,0.0,0.0,0.0,0.0,0.0,0.0,1141314.0,4858.0,0.0,560472607.0
INDIANA,28211.0,0.0,0.0,15356947.0,0.0,0.0,27529635.0,0.0,0.0,13767218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60824999.0,117507010.0
IOWA,31923671.0,6761437.0,994341.0,6932032.0,0.0,0.0,25939342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151675.0,3097879.0,517149.0,0.0,77317526.0
KANSAS ,0.0,0.0,0.0,6673023.0,15197598.0,0.0,49901778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71772399.0
KENTUCKY,30808643.0,10528943.0,0.0,29480574.0,0.0,0.0,0.0,0.0,2473405.0,0.0,0.0,4636349.0,0.0,0.0,190314.0,0.0,27474.0,0.0,78145702.0
LOUISIANA ,0.0,30621165.0,0.0,11121773.0,5309136.0,0.0,13627017.0,0.0,0.0,0.0,0.0,2957040.0,0.0,0.0,0.0,0.0,0.0,0.0,63636131.0
MAINE,21633565.0,676545.0,600617.0,1774161.0,0.0,0.0,0.0,3675001.0,0.0,4957534.0,0.0,0.0,2173633.0,0.0,1617510.0,10324.0,0.0,0.0,37523944.0
MARYLAND,11095439.0,293833.0,0.0,471575.0,58188198.0,0.0,152657685.0,30380158.0,0.0,0.0,0.0,0.0,12792.0,0.0,0.0,2059279.0,0.0,0.0,255158959.0
MASSACHUSETTS,184254881.0,12059779.0,699596.0,44973368.0,0.0,0.0,173120286.0,106279586.0,12598778.0,0.0,9303812.0,0.0,5412212.0,0.0,37800226.0,0.0,0.0,0.0,586502524.0
MICHIGAN,31528117.0,205244.0,8711928.0,19529091.0,187156948.0,0.0,47087390.0,47346626.0,0.0,214689224.0,0.0,0.0,12858592.0,0.0,827262.0,0.0,126366.0,0.0,570066788.0
MINNESOTA,24364544.0,6880677.0,0.0,117746793.0,5700000.0,0.0,119087543.0,146704.0,0.0,0.0,0.0,0.0,0.0,0.0,20011270.0,0.0,0.0,0.0,302121093.0
MISSISSIPPI,1135530.0,18493163.0,271738.0,1715430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20966.0,0.0,87481.0,0.0,21724308.0
MISSOURI,34521371.0,21770047.0,3883369.0,20595071.0,0.0,0.0,0.0,76644403.0,5948252.0,0.0,3915564.0,5269159.0,0.0,0.0,6271066.0,0.0,1550434.0,0.0,180368736.0
MONTANA,948162.0,3519553.0,1009841.0,1313990.0,0.0,212038.0,0.0,216068.0,0.0,0.0,0.0,0.0,0.0,0.0,389240.0,5957995.0,429003.0,0.0,13995890.0
NEBRASKA,6943864.0,2693882.0,0.0,6498998.0,0.0,0.0,29442599.0,145575.0,0.0,312965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50429638.0
NEVADA,24150457.0,1479468.0,292322.0,15464823.0,0.0,0.0,0.0,2721290.0,2693797.0,145267.0,34662.0,0.0,14603871.0,0.0,0.0,1981166.0,0.0,0.0,63567123.0
NEW HAMPSHIRE,14863960.0,2923891.0,317898.0,4581872.0,0.0,0.0,0.0,4493327.0,0.0,0.0,2427657.0,3901088.0,0.0,0.0,6293679.0,0.0,1759662.0,2150571.0,43713605.0
NEW JERSEY,2964277.0,35258056.0,4189.0,68951114.0,549240378.0,0.0,225460631.0,5213752.0,7945580.0,11886799.0,0.0,0.0,0.0,0.0,17406462.0,0.0,728919.0,0.0,925060157.0
NEW MEXICO,9416235.0,593787.0,0.0,0.0,23567881.0,0.0,0.0,2919126.0,4086980.0,2721200.0,246818.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,121981029.0
NEW YORK ,460916191.0,3890709.0,128328.0,101985168.0,498969635.0,1039.0,955324670.0,48259531.0,5125413.0,14066096.0,0.0,4079.0,30538667.0,2399.0,141762771.0,285466.0,9812054.0,0.0,2718812516.0
NORTH CAROLINA,0.0,3476150.0,1999778.0,45638531.0,120828052.0,0.0,0.0,5051654.0,353345.0,293059.0,0.0,0.0,49999080.0,0.0,24475251.0,20235062.0,430678.0,0.0,272780640.0
NORTH DAKOTA,2147006.0,3400713.0,528052.0,1073979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919536.0,0.0,0.0,0.0,0.0,0.0,9069286.0
OHIO,133813368.0,165193.0,0.0,176329813.0,0.0,0.0,0.0,37723694.0,0.0,0.0,63527463.0,385519.0,-6225.0,0.0,44000959.0,1023129.0,0.0,0.0,456962913.0
OKLAHOMA,13607758.0,6719584.0,711968.0,6905093.0,12079314.0,0.0,0.0,537723.0,794167.0,772610.0,0.0,0.0,5806829.0,0.0,7511294.0,4076524.0,542989.0,53861.0,60119714.0
OREGON,24525704.0,3276830.0,435512.0,6524187.0,8629903.0,0.0,0.0,29298535.0,842989.0,0.0,0.0,0.0,0.0,0.0,12568129.0,1036796.0,1115034.0,0.0,91634251.0
PENNSYLVANIA,18883390.0,9106720.0,359974.0,216636240.0,176996710.0,0.0,0.0,946479.0,0.0,0.0,8496.0,0.0,0.0,10105175.0,21634437.0,0.0,805303.0,0.0,455482924.0
RHODE ISLAND,3064454.0,1263614.0,0.0,6541046.0,0.0,0.0,22515504.0,24854811.0,0.0,0.0,0.0,0.0,19235474.0,0.0,941339.0,0.0,0.0,0.0,78605341.0
SOUTH CAROLINA,1016388.0,20000000.0,0.0,4085269.0,26381757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1805369.0,0.0,744652.0,4.0,54033443.0
SOUTH DAKOTA,5825801.0,1137219.0,37956.0,802914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736110.0,0.0,0.0,0.0,8540000.0
TENNESSEE,18373912.0,7592026.0,120127.0,0.0,85989536.0,0.0,0.0,0.0,66475.0,0.0,0.0,0.0,0.0,0.0,5056888.0,0.0,244629.0,0.0,117443593.0
TEXAS,48257311.0,7590659.0,342562.0,0.0,340550245.0,0.0,0.0,89122.0,0.0,0.0,0.0,0.0,0.0,0.0,702877.0,0.0,104133.0,0.0,397636909.0
UTAH,6103856.0,9083165.0,0.0,4474924.0,138582.0,0.0,0.0,0.0,1260220.0,0.0,0.0,221591.0,25294.0,0.0,3580074.0,0.0,0.0,0.0,24887706.0
VERMONT,11671931.0,1988690.0,1994131.0,19791309.0,0.0,0.0,0.0,1126666.0,0.0,2481214.0,93750.0,0.0,0.0,0.0,2302332.0,4031838.0,663522.0,0.0,46145383.0
VIRGINIA,39740169.0,25152751.0,5522502.0,21328762.0,4382910.0,0.0,0.0,0.0,1192416.0,0.0,0.0,12521617.0,0.0,0.0,19803921.0,0.0,2438141.0,0.0,132083189.0
WASHINGTON,13252801.0,50063849.0,0.0,40543030.0,39450497.0,0.0,0.0,49069018.0,0.0,0.0,239313626.0,0.0,0.0,258179.0,40762517.0,0.0,22252238.0,125798286.0,620764041.0
WEST VIRGINIA,24620163.0,0.0,1687925.0,2971392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166964.0,0.0,0.0,0.0,34446444.0
WISCONSIN,82280803.0,20377869.0,1190153.0,16017461.0,0.0,0.0,0.0,38039988.0,18528737.0,81120429.0,586199.0,2856073.0,0.0,0.0,10387449.0,1351698.0,4043825.0,0.0,276780684.0
WYOMING,4674176.0,7328.0,0.0,1553707.0,0.0,0.0,0.0,1977970.0,0.0,0.0,0.0,0.0,0.0,0.0,1449411.0,0.0,150.0,0.0,9662742.0
