,Total Basic Assistance,Foster Care,Juvenile Justice Payments,Emergency Assistance,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,2937561678,806552614,91352055,371193130,2800758945,357089805,1407389317,60699881,2328516,342597893,332630856,204362013,217263286,135885828,127385462,1155146738,93897740,1361264179,805123556,170078572,18701177,13799263241
ALABAMA,17262940,0,0,7295669,7354001,1421854,6863,0,0,0,8353326,873299,673712,552897,3307450,8252288,1905687,4478360,8119866,606666,0,70464878
ALASKA,13933127,0,0,0,9918356,208501,2663321,0,0,0,0,0,1500537,2842350,0,0,0,3953324,0,10879,0,35030395
ARIZONA,43598588,14691349,0,0,682232,9976231,0,0,0,0,9623158,7227262,0,0,0,98874052,0,12328140,6304730,3583262,0,206889004
ARKANSAS,4912258,0,0,4779900,13861293,913847,2659737,0,0,0,0,0,520588,1529738,3573775,275547,0,10621208,38128,1879149,0,45565168
CALIFORNIA,377435976,0,0,275119328,1712425648,184389997,129615131,0,0,0,226744,37074728,0,14570043,0,0,6782628,302723642,189669154,41488746,0,3271521765
COLORADO,67453254,0,0,0,10928672,6908091,437208,75407,28851,0,3277783,2017806,1107316,500431,314945,4682493,508209,15155146,33729879,1885677,0,149011168
CONNECTICUT,0,0,0,20945310,0,0,0,0,0,0,0,18023353,0,36622369,14081056,70619239,0,14912192,64025377,0,0,239228896
DELAWARE,25900,0,0,0,945919,0,14957152,0,0,0,992872,0,0,0,0,0,0,4807461,318979,15324,0,22063607
DIST. OF COLUMBIA,42109638,0,0,0,24780974,0,36947695,0,0,0,0,335000,0,1025929,0,0,0,9013499,1771164,711044,0,116694943
FLORIDA,24977967,0,0,0,46106428,4644842,68228597,0,0,0,950065,20327946,0,576393,0,125966065,0,53503049,0,592395,0,345873747
GEORGIA,61375619,31406069,0,0,8572626,2709688,0,0,0,0,5428798,18455708,15525170,6272890,0,143641952,0,13431137,8557957,2071898,0,317449512
