,Basic Assistance,Work Activities,Work Supports,Child Care,Adminstration & Systems,Tax Credit,Pre-K,Child Welfare,Other,Total
Alabama,0.0,40948.0,2494652.0,5778696.0,8614315.0,0.0,22273431.0,29390216.0,23736507.0,92328765.0
Alaska,24982321.0,33348.0,0.0,2661026.0,1190197.0,0.0,0.0,0.0,7691633.0,36558525.0
Arizona,0.0,0.0,0.0,0.0,4608698.0,0.0,0.0,127688331.0,0.0,132297029.0
Arkansas,0.0,57872.0,256801.0,0.0,2454574.0,0.0,108351270.0,0.0,333792.0,111454309.0
California,1849878336.0,55091505.0,115775648.0,540986816.0,327807291.0,0.0,0.0,3175.0,19141599.0,2908684370.0
Colorado,7868118.0,563909.0,1290022.0,11217721.0,7717676.0,78132807.0,61925347.0,45521297.0,24337680.0,238574577.0
Connecticut,50235960.0,11731629.0,1327105.0,13312910.0,22330146.0,56443535.0,76203424.0,0.0,100000.0,231684709.0
Delaware,12957608.0,959000.0,0.0,56247481.0,15385084.0,0.0,0.0,0.0,802208.0,86351381.0
Dist. of Col.,92188576.0,19420050.0,1095609.0,22169365.0,0.0,0.0,0.0,0.0,67558860.0,202432460.0
Florida,123882241.0,0.0,0.0,112188903.0,25653883.0,0.0,0.0,118144807.0,0.0,379869834.0
Georgia,27898532.0,0.0,0.0,22182651.0,7081887.0,0.0,0.0,75792252.0,40413205.0,173368527.0
Hawaii,11038923.0,40562015.0,22759825.0,9512580.0,11557781.0,0.0,180583.0,66411.0,53354119.0,149032237.0
Idaho,6294908.0,1419772.0,71838.0,1175820.0,2065587.0,0.0,450000.0,1507006.0,40448.0,13025379.0
Illinois,4963891.0,201698.0,9585408.0,437923962.0,1146172.0,0.0,106475907.0,0.0,175569.0,560472607.0
Indiana,28211.0,0.0,0.0,15356947.0,0.0,27529635.0,0.0,0.0,74592217.0,117507010.0
Iowa,31923671.0,6761437.0,994341.0,6932032.0,4766703.0,25939342.0,0.0,0.0,0.0,77317526.0
Kansas,0.0,0.0,0.0,6673023.0,0.0,49901778.0,15197598.0,0.0,0.0,71772399.0
Kentucky,30808643.0,10528943.0,2473405.0,29480574.0,217788.0,0.0,0.0,0.0,4636349.0,78145702.0
Louisiana,0.0,30621165.0,0.0,11121773.0,0.0,13627017.0,5309136.0,0.0,2957040.0,63636131.0
Maine,21633565.0,676545.0,600617.0,1774161.0,1627834.0,405054.0,0.0,2173633.0,8632535.0,37523944.0
Maryland,11095439.0,293833.0,0.0,471575.0,2059279.0,152657685.0,58188198.0,12792.0,30380158.0,255158959.0
Massachusetts,184254881.0,12059779.0,13298374.0,44973368.0,37800226.0,173120286.0,0.0,5412212.0,115583398.0,586502524.0
Michigan,31528117.0,205244.0,8711928.0,19529091.0,953628.0,47087390.0,187156948.0,12858592.0,262035850.0,570066788.0
Minnesota,24364544.0,6880677.0,0.0,117746793.0,20011270.0,127271105.0,5700000.0,0.0,146704.0,302121093.0
Mississippi,1135530.0,18493163.0,271738.0,1715430.0,108447.0,0.0,0.0,0.0,0.0,21724308.0
Missouri,34521371.0,21770047.0,9831621.0,20595071.0,7821500.0,0.0,0.0,0.0,85829126.0,180368736.0
Montana,948162.0,3519553.0,1009841.0,1313990.0,6776238.0,0.0,0.0,0.0,428106.0,13995890.0
Nebraska,6943864.0,2693882.0,0.0,6498998.0,0.0,33834354.0,0.0,0.0,458540.0,50429638.0
Nevada,24150457.0,1479468.0,2986119.0,15464823.0,1981166.0,0.0,0.0,14603871.0,2901219.0,63567123.0
New Hampshire,14863960.0,2923891.0,317898.0,4581872.0,8053341.0,0.0,0.0,0.0,12972643.0,43713605.0
New Jersey,2964277.0,35258056.0,7949769.0,68951114.0,18135381.0,225460631.0,549240378.0,0.0,17100551.0,925060157.0
New Mexico,9416235.0,593787.0,4086980.0,0.0,0.0,71929002.0,23567881.0,0.0,12387144.0,121981029.0
New York,460916191.0,3890709.0,5253741.0,101985168.0,151860291.0,1403064970.0,498969635.0,30538667.0,62333144.0,2718812516.0
North Carolina,0.0,3476150.0,2353123.0,45638531.0,45140991.0,0.0,120828052.0,49999080.0,5344713.0,272780640.0
North Dakota,2147006.0,3400713.0,528052.0,1073979.0,0.0,0.0,0.0,1919536.0,0.0,9069286.0
Ohio,133813368.0,165193.0,0.0,176329813.0,45024088.0,0.0,0.0,-6225.0,101636676.0,456962913.0
Oklahoma,13607758.0,6719584.0,1506135.0,6905093.0,12130807.0,0.0,12079314.0,5806829.0,1364194.0,60119714.0
Oregon,24525704.0,3276830.0,1278501.0,6524187.0,14719959.0,3380632.0,8629903.0,0.0,29298535.0,91634251.0
Pennsylvania,18883390.0,9106720.0,359974.0,216636240.0,22439740.0,0.0,176996710.0,0.0,11060150.0,455482924.0
Rhode Island,3064454.0,1263614.0,0.0,6541046.0,941339.0,22704603.0,0.0,19235474.0,24854811.0,78605341.0
South Carolina,1016388.0,20000000.0,0.0,4085269.0,2550021.0,0.0,26381757.0,4.0,4.0,54033443.0
South Dakota,5825801.0,1137219.0,37956.0,802914.0,736110.0,0.0,0.0,0.0,0.0,8540000.0
Tennessee,18373912.0,7592026.0,186602.0,0.0,5301517.0,0.0,85989536.0,0.0,0.0,117443593.0
Texas,48257311.0,7590659.0,342562.0,0.0,807010.0,0.0,340550245.0,0.0,89122.0,397636909.0
